url,title,price,security,ceiling_height,Год постройки,district,residential_complex,furnished,parking,bathroom_type,apartment_condition,building_type,rooms,current_floor,total_floors,area_m2,address,district_lat,district_lon,apartment_lat,apartment_lon,coord_level
https://krisha.kz/a/show/683656844,"3-комнатная квартира · 120 м², Сыганак — Кабанбай батыра",55000000,"домофон, видеонаблюдение",2.902672158850866,2006,"Есильский район, Астана, Казахстан",7 Бочек,полностью,Во дворе/не указано,2 с/у и более,свежий ремонт,монолитный,3.0,6.0,11.0,120.0,Сыганак — Кабанбай батыра,51.12,71.43,51.1220408,71.4131013,Address
https://krisha.kz/a/show/1010380882,"2-комнатная квартира · 64.5 м² · 9/9 этаж, Толе би 25",45500000,"домофон, видеонаблюдение",3.0,2022,"Нуринский район, Астана, Казахстан",Dastur,полностью,Во дворе/не указано,совмещенный,Не указано,кирпичный,2.0,9.0,9.0,64.5,Толе би 25,51.1,71.38,51.0997789,71.3896942,Complex
https://krisha.kz/a/show/1010251370,"2-комнатная квартира · 64.37 м² · 10/12 этаж, Чингиз Айтматов 77/11 — Мечеть Ырыскелді Кажы",32800000,"домофон, кодовый замок, видеодомофон",3.0,2026,"Сарыаркинский район, Астана, Казахстан",Shalqar,без мебели,паркинг,совмещенный,черновая отделка,кирпичный,2.0,10.0,12.0,64.37,Чингиз Айтматов 77/11 — Мечеть Ырыскелді Кажы,51.17,71.41,51.17,71.41,District
https://krisha.kz/a/show/1010195327,"3-комнатная квартира · 115 м², Ивана Панфилова 85",75000000,"домофон, видеонаблюдение",3.2,2026,"Сарыаркинский район, Астана, Казахстан",TANSU,без мебели,паркинг,совмещенный,Не указано,кирпичный,3.0,6.0,11.0,115.0,Ивана Панфилова 85,51.117,71.565,51.1058604,71.5003769,Complex
https://krisha.kz/a/show/1009176178,"2-комнатная квартира · 52 м² · 8/12 этаж, Кубрина 20/1",25000000,"домофон, видеонаблюдение",2.7,2009,"Сарыаркинский район, Астана, Казахстан",Сайран,полностью,Во дворе/не указано,совмещенный,свежий ремонт,кирпичный,2.0,8.0,12.0,52.0,Кубрина 20/1,51.17,71.41,51.1970968,71.4752393,Complex
https://krisha.kz/a/show/1008941883,"1-комнатная квартира · 38 м² · 7/10 этаж, Карталинская 29/1",13800000,"домофон, видеонаблюдение",2.85,2026,"Сарыаркинский район, Астана, Казахстан",ЛЕЯ-Уют,без мебели,паркинг,совмещенный,Не указано,монолитный,1.0,7.0,10.0,38.0,Карталинская 29/1,51.17,71.41,51.1973212,71.3868753,Address
https://krisha.kz/a/show/1007604244,"3-комнатная квартира · 96.11 м² · 12/12 этаж, Калдаяков",40366200,"домофон, видеонаблюдение",3.0,2026,"Сарыаркинский район, Астана, Казахстан",Панельный дом/Не указан,без мебели,Во дворе/не указано,совмещенный,Не указано,кирпичный,3.0,12.0,12.0,96.11,Калдаяков,51.117,71.565,51.1169473,71.4693971,Address
https://krisha.kz/a/show/1006792530,"1-комнатная квартира · 34 м² · 9/10 этаж, Мустафина 21/5",19500000,"домофон, видеонаблюдение",2.7,2008,"Алматинский район, Астана, Казахстан",Достар-2,полностью,Во дворе/не указано,совмещенный,"не новый, но аккуратный ремонт",кирпичный,1.0,9.0,10.0,34.0,Мустафина 21/5,51.15,71.5,51.1582991,71.5065243,Complex
https://krisha.kz/a/show/1006435460,"2-комнатная квартира · 48.8 м² · 9 этаж, Улы Дала 61 — Улы Дала Жошы Хан",34999999,"домофон, видеонаблюдение",2.7,2019,"Есильский район, Астана, Казахстан",Alan,полностью,Во дворе/не указано,совмещенный,Не указано,монолитный,2.0,6.0,11.0,48.8,Улы Дала 61 — Улы Дала Жошы Хан,51.12,71.43,51.094535,71.4393939,Complex
https://krisha.kz/a/show/1004570435,"2-комнатная квартира · 60.2 м² · 1/12 этаж, Ул.Жошы хан 13 — Бокейхана-Бухар Жырау",41000000,"домофон, видеонаблюдение, видеодомофон",3.0,2024,"Есильский район, Астана, Казахстан",Vienna,полностью,паркинг,совмещенный,Не указано,монолитный,2.0,1.0,12.0,60.2,Ул.Жошы хан 13 — Бокейхана-Бухар Жырау,51.12,71.43,51.0841107,71.4294274,Complex
https://krisha.kz/a/show/683962805,"1-комнатная квартира · 38.8 м², Е-36 5",25996000,"домофон, видеонаблюдение",3.0,2026,"Нуринский район, Астана, Казахстан",Respublika,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,1.0,6.0,11.0,38.8,Е-36 5,51.1,71.38,51.1233955,71.3835892,Complex
https://krisha.kz/a/show/1010845980,"1-комнатная квартира · 45 м² · 4/12 этаж, Махтумкули 31 — Жк Талтерек",22500000,"домофон, видеонаблюдение",2.8,2020,"Алматинский район, Астана, Казахстан",Панельный дом/Не указан,без мебели,Во дворе/не указано,совмещенный,Не указано,панельный,1.0,4.0,12.0,45.0,Махтумкули 31 — Жк Талтерек,51.15,71.5,51.15,71.5,District
https://krisha.kz/a/show/1010463237,"2-комнатная квартира · 40 м² · 10/12 этаж, Бейбарыс Султан — Парк Коктал, школа 106",24500000,"домофон, видеонаблюдение",2.7,2023,"Сарыаркинский район, Астана, Казахстан",Rio de Janeiro,без мебели,Во дворе/не указано,совмещенный,Не указано,кирпичный,2.0,10.0,12.0,40.0,"Бейбарыс Султан — Парк Коктал, школа 106",51.17,71.41,51.17,71.41,District
https://krisha.kz/a/show/1010434532,"1-комнатная квартира · 37 м² · 8/12 этаж, Байтурсынова 30/1",30000000,"охрана, домофон, кодовый замок, видеонаблюдение",3.0,2025,"Алматинский район, Астана, Казахстан",BILIM II,полностью,паркинг,совмещенный,свежий ремонт,кирпичный,1.0,8.0,12.0,37.0,Байтурсынова 30/1,51.15,71.5,51.1171065,71.5176628,Address
https://krisha.kz/a/show/1009169470,"1-комнатная квартира · 37.2 м² · 3/9 этаж, Тынышбайулы 10 — Нажмиденова",20950000,"домофон, видеонаблюдение",3.0,2025,"Сарыаркинский район, Астана, Казахстан",Ansau,без мебели,паркинг,совмещенный,Не указано,кирпичный,1.0,3.0,9.0,37.2,Тынышбайулы 10 — Нажмиденова,51.117,71.565,51.117,71.565,District
https://krisha.kz/a/show/1006521696,"1-комнатная квартира · 40 м² · 2/9 этаж, Жошы хан 27 — Сфера Парк",31800000,"домофон, видеонаблюдение",3.0,2022,"Есильский район, Астана, Казахстан",Prime Garden,полностью,паркинг,совмещенный,Не указано,кирпичный,1.0,2.0,9.0,40.0,Жошы хан 27 — Сфера Парк,51.12,71.43,51.1092328,71.4445049,Complex
https://krisha.kz/a/show/1003510630,"2-комнатная квартира · 62.8 м² · 4/9 этаж, Ш.Калдаякова 32 — С.Нурмагамбетова",29800000,"домофон, кодовый замок, видеодомофон",3.2,2025,"Алматинский район, Астана, Казахстан",Green House Premium,без мебели,паркинг,2 с/у и более,Не указано,кирпичный,2.0,4.0,9.0,62.8,Ш.Калдаякова 32 — С.Нурмагамбетова,51.15,71.5,51.15,71.5,District
https://krisha.kz/a/show/1000519286,"3-комнатная квартира · 59 м² · 5/5 этаж, Гёте — ЖД вокзал",19500000,"домофон, видеонаблюдение",2.5,1967,"Сарыаркинский район, Астана, Казахстан",Панельный дом/Не указан,частично,Во дворе/не указано,совмещенный,свежий ремонт,панельный,3.0,5.0,5.0,59.0,Гёте — ЖД вокзал,51.17,71.41,51.17,71.41,District
https://krisha.kz/a/show/1010411727,"2-комнатная квартира · 52.2 м², Сыганак 26/2",36016000,"домофон, видеонаблюдение",3.0,2025,"Нуринский район, Астана, Казахстан",Respublika Towers,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,2.0,6.0,11.0,52.2,Сыганак 26/2,51.1,71.38,51.1310748,71.371929,Address
https://krisha.kz/a/show/1004699342,"3-комнатная квартира · 68.55 м², Е 908 23",43255050,"домофон, видеонаблюдение",2.7,2026,"Нуринский район, Астана, Казахстан",UIA.BIRLIK,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,3.0,6.0,11.0,68.55,Е 908 23,51.1,71.38,51.1,71.38,District
https://krisha.kz/a/show/1010181005,"4-комнатная квартира · 113.61 м², Кенесары 54",64752000,"домофон, видеонаблюдение",3.0,2026,"Байконурский район, Астана, Казахстан",DARMEN,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,4.0,6.0,11.0,113.61,Кенесары 54,51.145,71.465,51.1626017,71.4051081,Address
https://krisha.kz/a/show/1010179161,"3-комнатная квартира · 68.7 м², Кенесары 54",49216617,"домофон, видеонаблюдение",3.0,2026,"Байконурский район, Астана, Казахстан",DARMEN,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,3.0,6.0,11.0,68.7,Кенесары 54,51.145,71.465,51.1626017,71.4051081,Address
https://krisha.kz/a/show/1007148141,"1-комнатная квартира · 38.93 м², Бердибек Сокпакбаев 6",17907800,"домофон, видеонаблюдение",3.0,2022,"Сарыаркинский район, Астана, Казахстан",Aibar,без мебели,Во дворе/не указано,совмещенный,Не указано,кирпичный,1.0,6.0,11.0,38.93,Бердибек Сокпакбаев 6,51.17,71.41,51.17,71.41,District
https://krisha.kz/a/show/1003510630,"2-комнатная квартира · 62.8 м² · 4/9 этаж, Ш.Калдаякова 32 — С.Нурмагамбетова",29800000,"домофон, кодовый замок, видеодомофон",3.2,2025,"Алматинский район, Астана, Казахстан",Green House Premium,без мебели,паркинг,2 с/у и более,Не указано,кирпичный,2.0,4.0,9.0,62.8,Ш.Калдаякова 32 — С.Нурмагамбетова,51.15,71.5,51.15,71.5,District
https://krisha.kz/a/show/1000519286,"3-комнатная квартира · 59 м² · 5/5 этаж, Гёте — ЖД вокзал",19500000,"домофон, видеонаблюдение",2.5,1967,"Сарыаркинский район, Астана, Казахстан",Панельный дом/Не указан,частично,Во дворе/не указано,совмещенный,свежий ремонт,панельный,3.0,5.0,5.0,59.0,Гёте — ЖД вокзал,51.17,71.41,51.17,71.41,District
https://krisha.kz/a/show/1010411727,"2-комнатная квартира · 52.2 м², Сыганак 26/2",36016000,"домофон, видеонаблюдение",3.0,2025,"Нуринский район, Астана, Казахстан",Respublika Towers,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,2.0,6.0,11.0,52.2,Сыганак 26/2,51.1,71.38,51.1310748,71.371929,Address
https://krisha.kz/a/show/1004699342,"3-комнатная квартира · 68.55 м², Е 908 23",43255050,"домофон, видеонаблюдение",2.7,2026,"Нуринский район, Астана, Казахстан",UIA.BIRLIK,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,3.0,6.0,11.0,68.55,Е 908 23,51.1,71.38,51.1,71.38,District
https://krisha.kz/a/show/1010181005,"4-комнатная квартира · 113.61 м², Кенесары 54",64752000,"домофон, видеонаблюдение",3.0,2026,"Байконурский район, Астана, Казахстан",DARMEN,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,4.0,6.0,11.0,113.61,Кенесары 54,51.145,71.465,51.1626017,71.4051081,Address
https://krisha.kz/a/show/1010179161,"3-комнатная квартира · 68.7 м², Кенесары 54",49216617,"домофон, видеонаблюдение",3.0,2026,"Байконурский район, Астана, Казахстан",DARMEN,без мебели,Во дворе/не указано,совмещенный,Не указано,монолитный,3.0,6.0,11.0,68.7,Кенесары 54,51.145,71.465,51.1626017,71.4051081,Address
https://krisha.kz/a/show/1007148141,"1-комнатная квартира · 38.93 м², Бердибек Сокпакбаев 6",17907800,"домофон, видеонаблюдение",3.0,2022,"Сарыаркинский район, Астана, Казахстан",Aibar,без мебели,Во дворе/не указано,совмещенный,Не указано,кирпичный,1.0,6.0,11.0,38.93,Бердибек Сокпакбаев 6,51.17,71.41,51.17,71.41,District
https://krisha.kz/a/show/1010575656,"4-комнатная квартира · 148 м² · 23/26 этаж, Кошкарбаева 10",109000000,"охрана, домофон, кодовый замок, видеонаблюдение, видеодомофон",2.8,2014,"Сарыаркинский район, Астана, Казахстан",Хайвил Астана,полностью,паркинг,2 с/у и более,Не указано,монолитный,4.0,23.0,26.0,148.0,Кошкарбаева 10,51.117,71.565,51.1285395,71.4584442,Complex
https://krisha.kz/a/show/1010116021,"2-комнатная квартира · 39 м² · 8/17 этаж, E 882 15б",27990000,"решетки на окнах, охрана, домофон, кодовый замок, сигнализация, видеонаблюдение, видеодомофон",3.0,2025,"Нуринский район, Астана, Казахстан",Abai Joly,полностью,паркинг,совмещенный,Не указано,монолитный,2.0,8.0,17.0,39.0,E 882 15б,51.1,71.38,51.1647529,71.3947777,Complex
https://krisha.kz/a/show/1009743291,"2-комнатная квартира · 35.5 м² · 11/12 этаж, ​Улица А 52, 2 10/2",24500000,"домофон, видеонаблюдение",3.0,2020,"Сарыаркинский район, Астана, Казахстан",Geneva 3,без мебели,Во дворе/не указано,совмещенный,свежий ремонт,кирпичный,2.0,11.0,12.0,35.5,"​Улица А 52, 2 10/2",51.117,71.565,51.1154045,71.5129661,Address
